simulation,permutation,lambda_pairs,threshold,predicted_changepoints
9,1,"20.808652046684813,0.16492531668812532;20.83266665599966,0.16473520098609867;20.904544960366874,0.16416877454921988;20.639767440550294,0.16627481576706177;20.904544960366874,0.16416877454921988;21.2602916254693,0.161421752302833;20.808652046684813,0.16492531668812532;21.142374511865974,0.16232204791975427;20.92844953645635,0.16398126018242976;21.118712081942874,0.16250392141985084;20.518284528683193,0.16725928153764366;21.236760581595302,0.1616006130250727;21.236760581595302,0.1616006130250727;21.047565179849187,0.16305323201650682;21.071307505705477,0.16286951000659317;21.02379604162864,0.16323757716528176;20.54263858417414,0.16706098949218648;20.92844953645635,0.16398126018242976;20.591260281974,0.16666651198891552;20.223748416156685,0.1696952245465429",0.22167819877134734,193
49,1,"19.467922333931785,0.17628350215219865;19.313207915827967,0.1776956756023912;19.235384061671343,0.1784146091208489;19.157244060668017,0.17914233998294793;19.82422760159901,0.173115119419618;19.467922333931785,0.17628350215219865;19.157244060668017,0.17914233998294793;19.339079605813716,0.17745795552859764;19.544820285692065,0.17558992502810727;19.467922333931785,0.17628350215219865;19.672315572906,0.17445193556060581;20.174241001832016,0.17011165517160487;19.82422760159901,0.173115119419618;19.519221295943137,0.17582020699595116;19.595917942265423,0.17513206264507103;19.672315572906,0.17445193556060581;19.595917942265423,0.17513206264507103;19.4164878389476,0.17675047913497996;19.364916731037084,0.17722118697014952;19.544820285692065,0.17558992502810727",0.44750923263336656,817
4,1,"18.027756377319946,0.1903660919763711;17.291616465790582,0.19847037062394113;18.411952639521967,0.18639378429020345;17.635192088548397,0.19460369421669207;18.05547008526779,0.19007389519327492;17.72004514666935,0.19367182759675716;17.74823934929885,0.19336416762872186;17.832554500127006,0.19244991112339274;18.138357147217054,0.18920531230024037;17.916472867168917,0.19154850143195565;18.05547008526779,0.19007389519327492;18.027756377319946,0.1903660919763711;17.74823934929885,0.19336416762872186;18.110770276274835,0.1894935155324821;18.275666882497067,0.18778376464824204;17.86057109949175,0.1921480287240176;17.52141546793523,0.1958673678466755;18.16590212458495,0.18891842007713727;18.110770276274835,0.1894935155324821;18.138357147217054,0.18920531230024037",1.4328171319339003,642
19,1,"20.85665361461421,0.16454574123280227;20.808652046684813,0.16492531668812532;20.83266665599966,0.16473520098609867;20.518284528683193,0.16725928153764366;20.85665361461421,0.16454574123280227;20.591260281974,0.16666651198891552;21.118712081942874,0.16250392141985084;20.663978319771825,0.1660800004502906;21.18962010041709,0.16196012540049964;20.615528128088304,0.1664703182634759;20.639767440550294,0.16627481576706177;21.166010488516726,0.1621407837114324;20.760539492026695,0.165307531144388;20.639767440550294,0.16627481576706177;20.760539492026695,0.165307531144388;20.784609690826528,0.1651160921326893;20.0,0.171593676432625;20.92844953645635,0.16398126018242976;21.02379604162864,0.16323757716528176;20.97617696340303,0.163608151029621",0.4040054149849021,382
12,1,"21.563858652847824,0.15914932405658624;21.236760581595302,0.1616006130250727;21.37755832643195,0.16053627248951127;21.77154105707724,0.15763117179695033;21.587033144922902,0.15897847127082626;21.61018278497431,0.15880816755694924;21.307275752662516,0.16106580533758097;21.470910553583888,0.1598382853902606;21.633307652783937,0.15863840998030926;21.817424229271428,0.15729966528533254;21.633307652783937,0.15863840998030926;21.863211109075447,0.15697024154095668;21.02379604162864,0.16323757716528176;21.702534414210707,0.15813238505477623;21.748563170931547,0.1577977129652149;21.817424229271428,0.15729966528533254;21.633307652783937,0.15863840998030926;21.702534414210707,0.15813238505477623;21.817424229271428,0.15729966528533254;22.06807649071391,0.15551303395638527",0.16240686650387054,57
30,1,"18.439088914585774,0.18611947393657846;17.97220075561143,0.19095455116040655;18.439088914585774,0.18611947393657846;19.364916731037084,0.17722118697014952;18.466185312619388,0.1858463711131087;18.439088914585774,0.18611947393657846;18.973665961010276,0.18087561653635045;18.275666882497067,0.18778376464824204;19.0,0.1806249225606579;17.663521732655695,0.19429157902910005;19.157244060668017,0.17914233998294793;19.1049731745428,0.17963247042008096;19.1049731745428,0.17963247042008096;18.867962264113206,0.18188893324107977;18.920887928424502,0.181380152011622;18.81488772222678,0.18240202010869777;18.867962264113206,0.18188893324107977;18.601075237738275,0.18449866391002165;18.920887928424502,0.181380152011622;18.520259177452136,0.1853037528130656",0.8549197978208802,424
36,1,"19.235384061671343,0.1784146091208489;18.973665961010276,0.18087561653635045;18.920887928424502,0.181380152011622;18.867962264113206,0.18188893324107977;19.261360284258224,0.17817399591747812;19.595917942265423,0.17513206264507103;19.77371993328519,0.17355730435301717;19.1049731745428,0.17963247042008096;18.973665961010276,0.18087561653635045;18.734993995195193,0.18317985741189155;19.235384061671343,0.1784146091208489;18.947295321496416,0.18112735725182427;19.0,0.1806249225606579;19.570385790780925,0.17536054553759292;19.183326093250876,0.1788987744862404;19.0,0.1806249225606579;19.235384061671343,0.1784146091208489;18.973665961010276,0.18087561653635045;19.364916731037084,0.17722118697014952;19.28730152198591,0.17793435358183474",0.7221214903763855,489
26,1,"20.952326839756964,0.16379438689074535;21.330729007701542,0.16088871258987017;21.118712081942874,0.16250392141985084;21.02379604162864,0.16323757716528176;21.047565179849187,0.16305323201650682;20.97617696340303,0.163608151029621;21.142374511865974,0.16232204791975427;21.236760581595302,0.1616006130250727;20.85665361461421,0.16454574123280227;20.808652046684813,0.16492531668812532;20.663978319771825,0.1660800004502906;21.213203435596427,0.16178006961898586;20.97617696340303,0.163608151029621;20.784609690826528,0.1651160921326893;21.307275752662516,0.16106580533758097;20.688160865577203,0.1658858682969135;20.92844953645635,0.16398126018242976;21.142374511865974,0.16232204791975427;20.92844953645635,0.16398126018242976;20.8806130178211,0.16435693366490142",0.645602008055203,575
34,1,"19.183326093250876,0.1788987744862404;19.078784028338912,0.17987904908168798;19.467922333931785,0.17628350215219865;19.82422760159901,0.173115119419618;19.621416870348583,0.17490447052468802;19.697715603592208,0.17422698132704484;19.924858845171276,0.17224079504504008;19.697715603592208,0.17422698132704484;19.493588689617926,0.17605139737457773;19.8997487421324,0.17245813367414156;19.6468827043885,0.17467776340344957;19.44222209522358,0.1765165273724353;18.920887928424502,0.181380152011622;19.748417658131498,0.17377967126593613;19.44222209522358,0.1765165273724353;19.4164878389476,0.17675047913497996;19.519221295943137,0.17582020699595116;19.261360284258224,0.17817399591747812;19.849433241279208,0.17289529060787082;19.748417658131498,0.17377967126593613",0.14325663648244452,736
17,1,"23.748684174075834,0.1445079442506018;23.62202362203543,0.14528279132915314;23.473389188611005,0.14620272773893264;23.388031127053,0.14673631611011678;23.515952032609693,0.14593810720031675;23.130067012440755,0.14837283120739037;23.706539182259394,0.14476484746540802;23.366642891095847,0.14687062855572885;23.430749027719962,0.14646879297765472;23.473389188611005,0.14620272773893264;23.515952032609693,0.14593810720031675;23.62202362203543,0.14528279132915314;23.2379000772445,0.1476843224751246;23.853720883753127,0.1438716226024915;23.68543856465402,0.14489381394752443;23.600847442411894,0.14541314827895768;23.62202362203543,0.14528279132915314;23.62202362203543,0.14528279132915314;23.2379000772445,0.1476843224751246;23.958297101421877,0.1432436334738008",0.3748882618262097,239
